level,pathway,Total_Genes,DEGs,Upregulated,Downregulated,Pct_Up,Pct_Down,Enrichment_P,Enrichment_FDR,Enrichment_OR,Enrichment_Sig,Directional_P,Directional_FDR,Directional_OR,Directional_Sig
level_2,MIA40,3,2,1,1,50.0,50.0,0.16348850327751113,0.9993980168937888,5.8034993270524895,ns,1.0,1.0,0.8023044269254094,ns
level_2,Malate-aspartate shuttle,6,2,0,2,0.0,100.0,0.48121689580866195,0.9993980168937888,1.4503701211305517,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Mitochondrial permeability transition pore,6,1,0,1,0.0,100.0,0.8310191067816908,0.9993980168937888,0.5798856374032964,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Mitochondrial ribosome assembly,24,7,0,7,0.0,100.0,0.42112691503923755,0.9993980168937888,1.194631138603065,ns,0.0034355665470798538,0.0446623651120381,0.0,*
level_2,Mitochondrial ribosome,83,17,1,16,5.88235294117647,94.11764705882352,0.8882753313690357,0.9993980168937888,0.7455498508931042,ns,2.246561229936127e-05,0.0008761588796750896,0.049575500303214066,***
level_2,Molybdenum cofactor synthesis and proteins,5,1,1,0,100.0,0.0,0.772718738286186,0.9993980168937888,0.7249411368987555,ns,1.0,1.0,inf,ns
level_2,NAD biosynthesis and metabolism,13,4,0,4,0.0,100.0,0.43722803672751004,0.9993980168937888,1.289337822671156,ns,0.03918273723756928,0.19101584403315025,0.0,ns
level_2,Nucleotide import,9,2,0,2,0.0,100.0,0.7148847085980177,0.9993980168937888,0.8284945202845606,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Nucleotide synthesis and processing,23,6,1,5,16.666666666666664,83.33333333333334,0.5598503926519502,0.9993980168937888,1.0236245441572855,ns,0.09485131678728434,0.352304890924199,0.15997574287446936,ns
level_2,Phospholipid metabolism,24,3,1,2,33.33333333333333,66.66666666666666,0.9657529012369234,0.9993980168937888,0.4137135163725537,ns,0.5887279828680135,0.6957694342985614,0.4008489993935719,ns
level_2,Polycistronic mtRNA processing,13,2,0,2,0.0,100.0,0.8836221216682507,0.9993980168937888,0.5269790774501407,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Preprotein cleavage,8,1,0,1,0.0,100.0,0.9066000242308346,0.9993980168937888,0.4141079236942002,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Proline metabolism,6,4,1,3,25.0,75.0,0.04103363710381387,0.9993980168937888,5.806734006734007,ns,0.3295430933549014,0.5600798316593272,0.26703052354962603,ns
level_2,Proteases,29,5,2,3,40.0,60.0,0.8991135739909357,0.9993980168937888,0.603528123947457,ns,0.6612604884852342,0.7698256433111682,0.5343851132686084,ns
level_2,Pyruvate metabolism,16,4,1,3,25.0,75.0,0.6179029475008676,0.9993980168937888,0.9666666666666667,ns,0.3295430933549014,0.5600798316593272,0.26703052354962603,ns
level_2,Q-linked reactions other,11,3,1,2,33.33333333333333,66.66666666666666,0.5645254264857537,0.9993980168937888,1.0876388421406933,ns,0.5887279828680135,0.6957694342985614,0.4008489993935719,ns
level_2,ROS and glutathione metabolism,27,3,2,1,66.66666666666666,33.33333333333333,0.9826165527628721,0.9993980168937888,0.3618731066980815,ns,1.0,1.0,1.6055825242718447,ns
level_2,TCA-associated,15,4,0,4,0.0,100.0,0.5616624033969729,0.9993980168937888,1.0546678910315275,ns,0.03918273723756928,0.19101584403315025,0.0,ns
level_2,TCA cycle,20,5,0,5,0.0,100.0,0.6108662488689987,0.9993980168937888,0.9666554395419333,ns,0.017414549883364123,0.1234849900820365,0.0,ns
level_2,TIM22 carrier pathway,3,1,0,1,0.0,100.0,0.5888721210465647,0.9993980168937888,1.450218634376051,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,TOM,9,2,0,2,0.0,100.0,0.7148847085980177,0.9993980168937888,0.8284945202845606,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Tetrahydrobiopterin synthesis,3,1,0,1,0.0,100.0,0.5888721210465647,0.9993980168937888,1.450218634376051,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Transcription,9,1,0,1,0.0,100.0,0.9305644386849368,0.9993980168937888,0.3623023881601076,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Translation factors,16,6,0,6,0.0,100.0,0.20678678995105737,0.9993980168937888,1.741576819407008,ns,0.007736541359433237,0.07543127825447406,0.0,ns
level_2,Type II fatty acid synthesis,9,1,0,1,0.0,100.0,0.9305644386849368,0.9993980168937888,0.3623023881601076,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Urea cycle,8,1,0,1,0.0,100.0,0.9066000242308346,0.9993980168937888,0.4141079236942002,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Vitamin A metabolism,5,2,0,2,0.0,100.0,0.38069085733450825,0.9993980168937888,1.934051144010767,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Vitamin B12 metabolism,4,2,0,2,0.0,100.0,0.2725489978987079,0.9993980168937888,2.9014131897711977,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Vitamin B1 metabolism,1,1,0,1,0.0,100.0,0.25640141391499266,0.9993980168937888,inf,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Vitamin B2 metabolism,3,1,0,1,0.0,100.0,0.5888721210465647,0.9993980168937888,1.450218634376051,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Vitamin B6 metabolism,2,1,1,0,100.0,0.0,0.44707758179021356,0.9993980168937888,2.9007736293306423,ns,1.0,1.0,inf,ns
level_2,Xenobiotic metabolism,23,4,0,4,0.0,100.0,0.8776382288668121,0.9993980168937888,0.6100301258195995,ns,0.03918273723756928,0.19101584403315025,0.0,ns
level_2,fMet processing,3,2,0,2,0.0,100.0,0.16348850327751113,0.9993980168937888,5.8034993270524895,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,mt-rRNA modifications,17,6,0,6,0.0,100.0,0.25450250867569946,0.9993980168937888,1.5830678755207057,ns,0.007736541359433237,0.07543127825447406,0.0,ns
level_2,mt-tRNA modifications,21,8,5,3,62.5,37.5,0.14533384676337766,0.9993980168937888,1.786814668810623,ns,0.7391444217274856,0.847842130805057,1.3383991894630192,ns
level_2,mt-tRNA synthetases,22,5,0,5,0.0,100.0,0.7009486670097139,0.9993980168937888,0.8527331444534701,ns,0.017414549883364123,0.1234849900820365,0.0,ns
level_2,mtDNA nucleoid,11,1,0,1,0.0,100.0,0.9616280805684767,0.9993980168937888,0.28977463841237805,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,mtDNA repair,9,2,0,2,0.0,100.0,0.7148847085980177,0.9993980168937888,0.8284945202845606,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,mtDNA replication,14,2,0,2,0.0,100.0,0.9080443113162003,0.9993980168937888,0.48300807537012114,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,mtDNA stability and decay,3,3,0,3,0.0,100.0,0.01684361742090211,0.9993980168937888,inf,ns,0.0881240820081895,0.3436839198319391,0.0,ns
level_2,mtRNA granules,28,8,2,6,25.0,75.0,0.4311498085972453,0.9993980168937888,1.1604855023600809,ns,0.15008775717808248,0.38631944392606765,0.26658576051779936,ns
level_2,mtRNA stability and decay,17,2,0,2,0.0,100.0,0.9555241262450026,0.9993980168937888,0.38627187079407804,ns,0.19811253534670134,0.38631944392606765,0.0,ns
